,,,,,Gecode,Gecode,OGSA,Preferred,Objective Ratio
,,,,,Initial,Modified,Modified,Modified,Modified
Month,House,Variable choices,Constraint variables,Weight,,,,,
1,1,anti_first_fail,indomain_max,200,568100,568100,,,
1,1,anti_first_fail,indomain_median,200,568100,568100,,,
1,1,anti_first_fail,indomain_min,200,568100,568100,,,
1,1,anti_first_fail,indomain_random,200,568100,568100,,,
1,1,first_fail,indomain_max,200,568100,568100,,,
1,1,first_fail,indomain_median,200,568100,568100,,,
1,1,first_fail,indomain_min,200,568100,568100,,,
1,1,first_fail,indomain_random,200,568100,568100,,,
1,1,input_order,indomain_max,200,568100,568100,,,
1,1,input_order,indomain_median,200,568100,568100,,,
1,1,input_order,indomain_min,200,568100,568100,,,
1,1,input_order,indomain_random,200,568100,568100,,,
1,1,largest,indomain_max,200,568100,568100,,,
1,1,largest,indomain_median,200,568100,568100,,,
1,1,largest,indomain_min,200,568100,568100,,,
1,1,largest,indomain_random,200,568100,568100,569050.0,538850.0,1.0016722408026757
1,1,smallest,indomain_max,200,568100,568100,,,
1,1,smallest,indomain_median,200,568100,568100,,,
1,1,smallest,indomain_min,200,568100,568100,,,
1,1,smallest,indomain_random,200,568100,568100,,,
1,2,anti_first_fail,indomain_max,200,1350460,1350460,,,
1,2,anti_first_fail,indomain_median,200,1350460,1350460,,,
1,2,anti_first_fail,indomain_min,200,1350460,1350460,,,
1,2,anti_first_fail,indomain_random,200,1350460,1350460,,,
1,2,first_fail,indomain_max,200,1350460,1350460,,,
1,2,first_fail,indomain_median,200,1350460,1350460,,,
1,2,first_fail,indomain_min,200,1350460,1350460,,,
1,2,first_fail,indomain_random,200,1350460,1350460,,,
1,2,input_order,indomain_max,200,1350460,1350460,,,
1,2,input_order,indomain_median,200,1350460,1350460,,,
1,2,input_order,indomain_min,200,1350460,1350460,,,
1,2,input_order,indomain_random,200,1350460,1350460,,,
1,2,largest,indomain_max,200,1350460,1350460,,,
1,2,largest,indomain_median,200,1350460,1350460,,,
1,2,largest,indomain_min,200,1350460,1350460,,,
1,2,largest,indomain_random,200,1350460,1350460,1390125.0,1668410.0,1.0293714734238704
1,2,smallest,indomain_max,200,1350460,1350460,,,
1,2,smallest,indomain_median,200,1350460,1350460,,,
1,2,smallest,indomain_min,200,1350460,1350460,,,
1,2,smallest,indomain_random,200,1350460,1350460,,,
1,3,anti_first_fail,indomain_max,200,1172540,1172540,,,
1,3,anti_first_fail,indomain_median,200,1172540,1172540,,,
1,3,anti_first_fail,indomain_min,200,1172540,1172540,,,
1,3,anti_first_fail,indomain_random,200,1172540,1172540,,,
1,3,first_fail,indomain_max,200,1172540,1172540,,,
1,3,first_fail,indomain_median,200,1172540,1172540,,,
1,3,first_fail,indomain_min,200,1172540,1172540,,,
1,3,first_fail,indomain_random,200,1172540,1172540,,,
1,3,input_order,indomain_max,200,1172540,1172540,,,
1,3,input_order,indomain_median,200,1172540,1172540,,,
1,3,input_order,indomain_min,200,1172540,1172540,,,
1,3,input_order,indomain_random,200,1172540,1172540,,,
1,3,largest,indomain_max,200,1172540,1172540,,,
1,3,largest,indomain_median,200,1172540,1172540,,,
1,3,largest,indomain_min,200,1172540,1172540,,,
1,3,largest,indomain_random,200,1172540,1172540,1196615.0,1287255.0,1.0205323485765945
1,3,smallest,indomain_max,200,1172540,1172540,,,
1,3,smallest,indomain_median,200,1172540,1172540,,,
1,3,smallest,indomain_min,200,1172540,1172540,,,
1,3,smallest,indomain_random,200,1172540,1172540,,,
2,1,anti_first_fail,indomain_max,200,525030,525030,,,
2,1,anti_first_fail,indomain_median,200,525030,525030,,,
2,1,anti_first_fail,indomain_min,200,525030,525030,,,
2,1,anti_first_fail,indomain_random,200,525030,525030,,,
2,1,first_fail,indomain_max,200,525030,525030,,,
2,1,first_fail,indomain_median,200,525030,525030,,,
2,1,first_fail,indomain_min,200,525030,525030,,,
2,1,first_fail,indomain_random,200,525030,525030,,,
2,1,input_order,indomain_max,200,525030,525030,,,
2,1,input_order,indomain_median,200,525030,525030,,,
2,1,input_order,indomain_min,200,525030,525030,,,
2,1,input_order,indomain_random,200,525030,525030,,,
2,1,largest,indomain_max,200,525030,525030,,,
2,1,largest,indomain_median,200,525030,525030,,,
2,1,largest,indomain_min,200,525030,525030,,,
2,1,largest,indomain_random,200,525030,525030,525030.0,523970.0,1.0
2,1,smallest,indomain_max,200,525030,525030,,,
2,1,smallest,indomain_median,200,525030,525030,,,
2,1,smallest,indomain_min,200,525030,525030,,,
2,1,smallest,indomain_random,200,525030,525030,,,
2,2,anti_first_fail,indomain_max,200,1237345,1237345,,,
2,2,anti_first_fail,indomain_median,200,1237345,1237345,,,
2,2,anti_first_fail,indomain_min,200,1237345,1237345,,,
2,2,anti_first_fail,indomain_random,200,1237345,1237345,,,
2,2,first_fail,indomain_max,200,1237345,1237345,,,
2,2,first_fail,indomain_median,200,1237345,1237345,,,
2,2,first_fail,indomain_min,200,1237345,1237345,,,
2,2,first_fail,indomain_random,200,1237345,1237345,,,
2,2,input_order,indomain_max,200,1237345,1237345,,,
2,2,input_order,indomain_median,200,1237345,1237345,,,
2,2,input_order,indomain_min,200,1237345,1237345,,,
2,2,input_order,indomain_random,200,1237345,1237345,,,
2,2,largest,indomain_max,200,1237345,1237345,,,
2,2,largest,indomain_median,200,1237345,1237345,,,
2,2,largest,indomain_min,200,1237345,1237345,,,
2,2,largest,indomain_random,200,1237345,1237345,1255465.0,1628455.0,1.0146442584727784
2,2,smallest,indomain_max,200,1237345,1237345,,,
2,2,smallest,indomain_median,200,1237345,1237345,,,
2,2,smallest,indomain_min,200,1237345,1237345,,,
2,2,smallest,indomain_random,200,1237345,1237345,,,
2,3,anti_first_fail,indomain_max,200,1044265,1044265,,,
2,3,anti_first_fail,indomain_median,200,1044265,1044265,,,
2,3,anti_first_fail,indomain_min,200,1044265,1044265,,,
2,3,anti_first_fail,indomain_random,200,1044265,1044265,,,
2,3,first_fail,indomain_max,200,1044265,1044265,,,
2,3,first_fail,indomain_median,200,1044265,1044265,,,
2,3,first_fail,indomain_min,200,1044265,1044265,,,
2,3,first_fail,indomain_random,200,1044265,1044265,,,
2,3,input_order,indomain_max,200,1044265,1044265,,,
2,3,input_order,indomain_median,200,1044265,1044265,,,
2,3,input_order,indomain_min,200,1044265,1044265,,,
2,3,input_order,indomain_random,200,1044265,1044265,,,
2,3,largest,indomain_max,200,1044265,1044265,,,
2,3,largest,indomain_median,200,1044265,1044265,,,
2,3,largest,indomain_min,200,1044265,1044265,,,
2,3,largest,indomain_random,200,1044265,1044265,1064515.0,1127335.0,1.019391629519327
2,3,smallest,indomain_max,200,1044265,1044265,,,
2,3,smallest,indomain_median,200,1044265,1044265,,,
2,3,smallest,indomain_min,200,1044265,1044265,,,
2,3,smallest,indomain_random,200,1044265,1044265,,,
